mineId,mineName,parameter,month,value,unit,threshold,thresholdSource
MINE-002,Gevra Mega Opencast Mine,dust_level,2026-04,80.8,µg/m³,150,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,dust_level,2026-05,76.1,µg/m³,150,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,dust_level,2026-06,82.5,µg/m³,150,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,dust_level,2026-07,78.9,µg/m³,150,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,dust_level,2026-08,84.3,µg/m³,150,CPCB Limit
MINE-002,Gevra Mega Opencast Mine,water_ph,2026-03,6.9,pH,8.5,Safe Range (6.5-8.5)
MINE-002,Gevra Mega Opencast Mine,water_ph,2026-04,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-002,Gevra Mega Opencast Mine,water_ph,2026-05,7.0,pH,8.5,Safe Range (6.5-8.5)
MINE-002,Gevra Mega Opencast Mine,water_ph,2026-06,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-002,Gevra Mega Opencast Mine,water_ph,2026-07,7.0,pH,8.5,Safe Range (6.5-8.5)
MINE-002,Gevra Mega Opencast Mine,water_ph,2026-08,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-002,Gevra Mega Opencast Mine,noise_level,2026-03,65.2,dB,85,OSHA Limit
MINE-002,Gevra Mega Opencast Mine,noise_level,2026-04,69.8,dB,85,OSHA Limit
MINE-002,Gevra Mega Opencast Mine,noise_level,2026-05,67.1,dB,85,OSHA Limit
MINE-002,Gevra Mega Opencast Mine,noise_level,2026-06,70.4,dB,85,OSHA Limit
MINE-002,Gevra Mega Opencast Mine,noise_level,2026-07,68.5,dB,85,OSHA Limit
MINE-002,Gevra Mega Opencast Mine,noise_level,2026-08,71.2,dB,85,OSHA Limit
MINE-002,Gevra Mega Opencast Mine,co_emission,2026-03,10.8,ppm,50,DGMS Limit
MINE-002,Gevra Mega Opencast Mine,co_emission,2026-04,13.2,ppm,50,DGMS Limit
MINE-002,Gevra Mega Opencast Mine,co_emission,2026-05,11.5,ppm,50,DGMS Limit
MINE-002,Gevra Mega Opencast Mine,co_emission,2026-06,13.9,ppm,50,DGMS Limit
MINE-002,Gevra Mega Opencast Mine,co_emission,2026-07,12.3,ppm,50,DGMS Limit
MINE-002,Gevra Mega Opencast Mine,co_emission,2026-08,14.5,ppm,50,DGMS Limit
MINE-002,Gevra Mega Opencast Mine,so2_level,2026-03,25.6,µg/m³,80,NAAQS Limit
MINE-002,Gevra Mega Opencast Mine,so2_level,2026-04,30.1,µg/m³,80,NAAQS Limit
MINE-002,Gevra Mega Opencast Mine,so2_level,2026-05,27.3,µg/m³,80,NAAQS Limit
MINE-002,Gevra Mega Opencast Mine,so2_level,2026-06,31.5,µg/m³,80,NAAQS Limit
MINE-002,Gevra Mega Opencast Mine,so2_level,2026-07,28.8,µg/m³,80,NAAQS Limit
MINE-002,Gevra Mega Opencast Mine,so2_level,2026-08,32.4,µg/m³,80,NAAQS Limit
MINE-003,Talcher Underground Mine,air_quality,2026-03,176.8,AQI,200,CPCB Limit
MINE-003,Talcher Underground Mine,air_quality,2026-04,189.3,AQI,200,CPCB Limit
MINE-003,Talcher Underground Mine,air_quality,2026-05,182.5,AQI,200,CPCB Limit
MINE-003,Talcher Underground Mine,air_quality,2026-06,195.1,AQI,200,CPCB Limit
MINE-003,Talcher Underground Mine,air_quality,2026-07,187.6,AQI,200,CPCB Limit
MINE-003,Talcher Underground Mine,air_quality,2026-08,201.4,AQI,200,CPCB Limit
MINE-003,Talcher Underground Mine,dust_level,2026-03,131.2,µg/m³,150,CPCB Limit
MINE-003,Talcher Underground Mine,dust_level,2026-04,145.8,µg/m³,150,CPCB Limit
MINE-003,Talcher Underground Mine,dust_level,2026-05,138.4,µg/m³,150,CPCB Limit
MINE-003,Talcher Underground Mine,dust_level,2026-06,152.1,µg/m³,150,CPCB Limit
MINE-003,Talcher Underground Mine,dust_level,2026-07,143.7,µg/m³,150,CPCB Limit
MINE-003,Talcher Underground Mine,dust_level,2026-08,158.5,µg/m³,150,CPCB Limit
MINE-003,Talcher Underground Mine,water_ph,2026-03,5.7,pH,8.5,Safe Range (6.5-8.5)
MINE-003,Talcher Underground Mine,water_ph,2026-04,5.9,pH,8.5,Safe Range (6.5-8.5)
MINE-003,Talcher Underground Mine,water_ph,2026-05,5.6,pH,8.5,Safe Range (6.5-8.5)
MINE-003,Talcher Underground Mine,water_ph,2026-06,5.8,pH,8.5,Safe Range (6.5-8.5)
MINE-003,Talcher Underground Mine,water_ph,2026-07,6.0,pH,8.5,Safe Range (6.5-8.5)
MINE-003,Talcher Underground Mine,water_ph,2026-08,5.9,pH,8.5,Safe Range (6.5-8.5)
MINE-003,Talcher Underground Mine,noise_level,2026-03,79.4,dB,85,OSHA Limit
MINE-003,Talcher Underground Mine,noise_level,2026-04,83.7,dB,85,OSHA Limit
MINE-003,Talcher Underground Mine,noise_level,2026-05,81.2,dB,85,OSHA Limit
MINE-003,Talcher Underground Mine,noise_level,2026-06,84.5,dB,85,OSHA Limit
MINE-003,Talcher Underground Mine,noise_level,2026-07,82.8,dB,85,OSHA Limit
MINE-003,Talcher Underground Mine,noise_level,2026-08,85.6,dB,85,OSHA Limit
MINE-003,Talcher Underground Mine,co_emission,2026-03,35.2,ppm,50,DGMS Limit
MINE-003,Talcher Underground Mine,co_emission,2026-04,39.8,ppm,50,DGMS Limit
MINE-003,Talcher Underground Mine,co_emission,2026-05,37.1,ppm,50,DGMS Limit
MINE-003,Talcher Underground Mine,co_emission,2026-06,41.5,ppm,50,DGMS Limit
MINE-003,Talcher Underground Mine,co_emission,2026-07,38.9,ppm,50,DGMS Limit
MINE-003,Talcher Underground Mine,co_emission,2026-08,43.2,ppm,50,DGMS Limit
MINE-003,Talcher Underground Mine,so2_level,2026-03,60.8,µg/m³,80,NAAQS Limit
MINE-003,Talcher Underground Mine,so2_level,2026-04,67.3,µg/m³,80,NAAQS Limit
MINE-003,Talcher Underground Mine,so2_level,2026-05,63.5,µg/m³,80,NAAQS Limit
MINE-003,Talcher Underground Mine,so2_level,2026-06,69.1,µg/m³,80,NAAQS Limit
MINE-003,Talcher Underground Mine,so2_level,2026-07,65.8,µg/m³,80,NAAQS Limit
MINE-003,Talcher Underground Mine,so2_level,2026-08,71.4,µg/m³,80,NAAQS Limit
MINE-004,Sonepur Bazari Opencast Mine,air_quality,2026-03,157.3,AQI,200,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,air_quality,2026-04,168.9,AQI,200,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,air_quality,2026-05,162.1,AQI,200,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,air_quality,2026-06,173.5,AQI,200,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,air_quality,2026-07,166.8,AQI,200,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,air_quality,2026-08,178.2,AQI,200,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,dust_level,2026-03,155.4,µg/m³,150,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,dust_level,2026-04,170.2,µg/m³,150,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,dust_level,2026-05,161.8,µg/m³,150,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,dust_level,2026-06,175.9,µg/m³,150,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,dust_level,2026-07,167.3,µg/m³,150,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,dust_level,2026-08,181.5,µg/m³,150,CPCB Limit
MINE-004,Sonepur Bazari Opencast Mine,water_ph,2026-03,7.3,pH,8.5,Safe Range (6.5-8.5)
MINE-004,Sonepur Bazari Opencast Mine,water_ph,2026-04,7.5,pH,8.5,Safe Range (6.5-8.5)
MINE-004,Sonepur Bazari Opencast Mine,water_ph,2026-05,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-004,Sonepur Bazari Opencast Mine,water_ph,2026-06,7.4,pH,8.5,Safe Range (6.5-8.5)
MINE-004,Sonepur Bazari Opencast Mine,water_ph,2026-07,7.6,pH,8.5,Safe Range (6.5-8.5)
MINE-004,Sonepur Bazari Opencast Mine,water_ph,2026-08,7.5,pH,8.5,Safe Range (6.5-8.5)
MINE-004,Sonepur Bazari Opencast Mine,noise_level,2026-03,75.3,dB,85,OSHA Limit
MINE-004,Sonepur Bazari Opencast Mine,noise_level,2026-04,79.8,dB,85,OSHA Limit
MINE-004,Sonepur Bazari Opencast Mine,noise_level,2026-05,77.1,dB,85,OSHA Limit
MINE-004,Sonepur Bazari Opencast Mine,noise_level,2026-06,80.5,dB,85,OSHA Limit
MINE-004,Sonepur Bazari Opencast Mine,noise_level,2026-07,78.4,dB,85,OSHA Limit
MINE-004,Sonepur Bazari Opencast Mine,noise_level,2026-08,81.2,dB,85,OSHA Limit
MINE-004,Sonepur Bazari Opencast Mine,co_emission,2026-03,19.8,ppm,50,DGMS Limit
MINE-004,Sonepur Bazari Opencast Mine,co_emission,2026-04,23.5,ppm,50,DGMS Limit
MINE-004,Sonepur Bazari Opencast Mine,co_emission,2026-05,21.2,ppm,50,DGMS Limit
MINE-004,Sonepur Bazari Opencast Mine,co_emission,2026-06,24.8,ppm,50,DGMS Limit
MINE-004,Sonepur Bazari Opencast Mine,co_emission,2026-07,22.6,ppm,50,DGMS Limit
MINE-004,Sonepur Bazari Opencast Mine,co_emission,2026-08,25.9,ppm,50,DGMS Limit
MINE-004,Sonepur Bazari Opencast Mine,so2_level,2026-03,44.2,µg/m³,80,NAAQS Limit
MINE-004,Sonepur Bazari Opencast Mine,so2_level,2026-04,50.8,µg/m³,80,NAAQS Limit
MINE-004,Sonepur Bazari Opencast Mine,so2_level,2026-05,46.9,µg/m³,80,NAAQS Limit
MINE-004,Sonepur Bazari Opencast Mine,so2_level,2026-06,52.3,µg/m³,80,NAAQS Limit
MINE-004,Sonepur Bazari Opencast Mine,so2_level,2026-07,48.5,µg/m³,80,NAAQS Limit
MINE-004,Sonepur Bazari Opencast Mine,so2_level,2026-08,54.1,µg/m³,80,NAAQS Limit
MINE-005,Singrauli Coal Mine,air_quality,2026-03,114.5,AQI,200,CPCB Limit
MINE-005,Singrauli Coal Mine,air_quality,2026-04,122.8,AQI,200,CPCB Limit
MINE-005,Singrauli Coal Mine,air_quality,2026-05,118.1,AQI,200,CPCB Limit
MINE-005,Singrauli Coal Mine,air_quality,2026-06,125.6,AQI,200,CPCB Limit
MINE-005,Singrauli Coal Mine,air_quality,2026-07,120.3,AQI,200,CPCB Limit
MINE-005,Singrauli Coal Mine,air_quality,2026-08,128.4,AQI,200,CPCB Limit
MINE-005,Singrauli Coal Mine,dust_level,2026-03,79.2,µg/m³,150,CPCB Limit
MINE-005,Singrauli Coal Mine,dust_level,2026-04,87.6,µg/m³,150,CPCB Limit
MINE-005,Singrauli Coal Mine,dust_level,2026-05,82.8,µg/m³,150,CPCB Limit
MINE-005,Singrauli Coal Mine,dust_level,2026-06,89.4,µg/m³,150,CPCB Limit
MINE-005,Singrauli Coal Mine,dust_level,2026-07,85.1,µg/m³,150,CPCB Limit
MINE-005,Singrauli Coal Mine,dust_level,2026-08,91.7,µg/m³,150,CPCB Limit
MINE-005,Singrauli Coal Mine,water_ph,2026-03,7.0,pH,8.5,Safe Range (6.5-8.5)
MINE-005,Singrauli Coal Mine,water_ph,2026-04,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-005,Singrauli Coal Mine,water_ph,2026-05,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-005,Singrauli Coal Mine,water_ph,2026-06,7.3,pH,8.5,Safe Range (6.5-8.5)
MINE-005,Singrauli Coal Mine,water_ph,2026-07,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-005,Singrauli Coal Mine,water_ph,2026-08,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-005,Singrauli Coal Mine,noise_level,2026-03,67.3,dB,85,OSHA Limit
MINE-005,Singrauli Coal Mine,noise_level,2026-04,71.8,dB,85,OSHA Limit
MINE-005,Singrauli Coal Mine,noise_level,2026-05,69.2,dB,85,OSHA Limit
MINE-005,Singrauli Coal Mine,noise_level,2026-06,72.5,dB,85,OSHA Limit
MINE-005,Singrauli Coal Mine,noise_level,2026-07,70.6,dB,85,OSHA Limit
MINE-005,Singrauli Coal Mine,noise_level,2026-08,73.4,dB,85,OSHA Limit
MINE-005,Singrauli Coal Mine,co_emission,2026-03,13.5,ppm,50,DGMS Limit
MINE-005,Singrauli Coal Mine,co_emission,2026-04,16.2,ppm,50,DGMS Limit
MINE-005,Singrauli Coal Mine,co_emission,2026-05,14.8,ppm,50,DGMS Limit
MINE-005,Singrauli Coal Mine,co_emission,2026-06,17.1,ppm,50,DGMS Limit
MINE-005,Singrauli Coal Mine,co_emission,2026-07,15.5,ppm,50,DGMS Limit
MINE-005,Singrauli Coal Mine,co_emission,2026-08,17.9,ppm,50,DGMS Limit
MINE-005,Singrauli Coal Mine,so2_level,2026-03,29.4,µg/m³,80,NAAQS Limit
MINE-005,Singrauli Coal Mine,so2_level,2026-04,33.8,µg/m³,80,NAAQS Limit
MINE-005,Singrauli Coal Mine,so2_level,2026-05,31.1,µg/m³,80,NAAQS Limit
MINE-005,Singrauli Coal Mine,so2_level,2026-06,35.2,µg/m³,80,NAAQS Limit
MINE-005,Singrauli Coal Mine,so2_level,2026-07,32.5,µg/m³,80,NAAQS Limit
MINE-005,Singrauli Coal Mine,so2_level,2026-08,36.8,µg/m³,80,NAAQS Limit
MINE-006,Jharia Underground Mine,air_quality,2026-03,210.5,AQI,200,CPCB Limit
MINE-006,Jharia Underground Mine,air_quality,2026-04,225.3,AQI,200,CPCB Limit
MINE-006,Jharia Underground Mine,air_quality,2026-05,218.7,AQI,200,CPCB Limit
MINE-006,Jharia Underground Mine,air_quality,2026-06,232.1,AQI,200,CPCB Limit
MINE-006,Jharia Underground Mine,air_quality,2026-07,224.6,AQI,200,CPCB Limit
MINE-006,Jharia Underground Mine,air_quality,2026-08,238.9,AQI,200,CPCB Limit
MINE-006,Jharia Underground Mine,dust_level,2026-03,168.4,µg/m³,150,CPCB Limit
MINE-006,Jharia Underground Mine,dust_level,2026-04,185.2,µg/m³,150,CPCB Limit
MINE-006,Jharia Underground Mine,dust_level,2026-05,176.8,µg/m³,150,CPCB Limit
MINE-006,Jharia Underground Mine,dust_level,2026-06,191.5,µg/m³,150,CPCB Limit
MINE-006,Jharia Underground Mine,dust_level,2026-07,183.1,µg/m³,150,CPCB Limit
MINE-006,Jharia Underground Mine,dust_level,2026-08,197.8,µg/m³,150,CPCB Limit
MINE-006,Jharia Underground Mine,water_ph,2026-03,5.1,pH,8.5,Safe Range (6.5-8.5)
MINE-006,Jharia Underground Mine,water_ph,2026-04,5.3,pH,8.5,Safe Range (6.5-8.5)
MINE-006,Jharia Underground Mine,water_ph,2026-05,5.0,pH,8.5,Safe Range (6.5-8.5)
MINE-006,Jharia Underground Mine,water_ph,2026-06,5.2,pH,8.5,Safe Range (6.5-8.5)
MINE-006,Jharia Underground Mine,water_ph,2026-07,5.4,pH,8.5,Safe Range (6.5-8.5)
MINE-006,Jharia Underground Mine,water_ph,2026-08,5.3,pH,8.5,Safe Range (6.5-8.5)
MINE-006,Jharia Underground Mine,noise_level,2026-03,85.6,dB,85,OSHA Limit
MINE-006,Jharia Underground Mine,noise_level,2026-04,89.2,dB,85,OSHA Limit
MINE-006,Jharia Underground Mine,noise_level,2026-05,87.4,dB,85,OSHA Limit
MINE-006,Jharia Underground Mine,noise_level,2026-06,90.8,dB,85,OSHA Limit
MINE-006,Jharia Underground Mine,noise_level,2026-07,88.5,dB,85,OSHA Limit
MINE-006,Jharia Underground Mine,noise_level,2026-08,92.1,dB,85,OSHA Limit
MINE-006,Jharia Underground Mine,co_emission,2026-03,51.2,ppm,50,DGMS Limit
MINE-006,Jharia Underground Mine,co_emission,2026-04,57.8,ppm,50,DGMS Limit
MINE-006,Jharia Underground Mine,co_emission,2026-05,54.1,ppm,50,DGMS Limit
MINE-006,Jharia Underground Mine,co_emission,2026-06,59.5,ppm,50,DGMS Limit
MINE-006,Jharia Underground Mine,co_emission,2026-07,56.3,ppm,50,DGMS Limit
MINE-006,Jharia Underground Mine,co_emission,2026-08,61.8,ppm,50,DGMS Limit
MINE-006,Jharia Underground Mine,so2_level,2026-03,76.5,µg/m³,80,NAAQS Limit
MINE-006,Jharia Underground Mine,so2_level,2026-04,84.2,µg/m³,80,NAAQS Limit
MINE-006,Jharia Underground Mine,so2_level,2026-05,80.1,µg/m³,80,NAAQS Limit
MINE-006,Jharia Underground Mine,so2_level,2026-06,87.3,µg/m³,80,NAAQS Limit
MINE-006,Jharia Underground Mine,so2_level,2026-07,83.5,µg/m³,80,NAAQS Limit
MINE-006,Jharia Underground Mine,so2_level,2026-08,89.8,µg/m³,80,NAAQS Limit
MINE-007,Singareni Opencast Mine,air_quality,2026-03,109.8,AQI,200,CPCB Limit
MINE-007,Singareni Opencast Mine,air_quality,2026-04,117.5,AQI,200,CPCB Limit
MINE-007,Singareni Opencast Mine,air_quality,2026-05,113.2,AQI,200,CPCB Limit
MINE-007,Singareni Opencast Mine,air_quality,2026-06,119.8,AQI,200,CPCB Limit
MINE-007,Singareni Opencast Mine,air_quality,2026-07,115.6,AQI,200,CPCB Limit
MINE-007,Singareni Opencast Mine,air_quality,2026-08,122.3,AQI,200,CPCB Limit
MINE-007,Singareni Opencast Mine,dust_level,2026-03,74.5,µg/m³,150,CPCB Limit
MINE-007,Singareni Opencast Mine,dust_level,2026-04,82.3,µg/m³,150,CPCB Limit
MINE-007,Singareni Opencast Mine,dust_level,2026-05,78.1,µg/m³,150,CPCB Limit
MINE-007,Singareni Opencast Mine,dust_level,2026-06,84.7,µg/m³,150,CPCB Limit
MINE-007,Singareni Opencast Mine,dust_level,2026-07,80.9,µg/m³,150,CPCB Limit
MINE-007,Singareni Opencast Mine,dust_level,2026-08,86.4,µg/m³,150,CPCB Limit
MINE-007,Singareni Opencast Mine,water_ph,2026-03,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-007,Singareni Opencast Mine,water_ph,2026-04,7.4,pH,8.5,Safe Range (6.5-8.5)
MINE-007,Singareni Opencast Mine,water_ph,2026-05,7.3,pH,8.5,Safe Range (6.5-8.5)
MINE-007,Singareni Opencast Mine,water_ph,2026-06,7.5,pH,8.5,Safe Range (6.5-8.5)
MINE-007,Singareni Opencast Mine,water_ph,2026-07,7.3,pH,8.5,Safe Range (6.5-8.5)
MINE-007,Singareni Opencast Mine,water_ph,2026-08,7.4,pH,8.5,Safe Range (6.5-8.5)
MINE-007,Singareni Opencast Mine,noise_level,2026-03,62.5,dB,85,OSHA Limit
MINE-007,Singareni Opencast Mine,noise_level,2026-04,66.8,dB,85,OSHA Limit
MINE-007,Singareni Opencast Mine,noise_level,2026-05,64.2,dB,85,OSHA Limit
MINE-007,Singareni Opencast Mine,noise_level,2026-06,67.9,dB,85,OSHA Limit
MINE-007,Singareni Opencast Mine,noise_level,2026-07,65.5,dB,85,OSHA Limit
MINE-007,Singareni Opencast Mine,noise_level,2026-08,68.7,dB,85,OSHA Limit
MINE-007,Singareni Opencast Mine,co_emission,2026-03,12.6,ppm,50,DGMS Limit
MINE-007,Singareni Opencast Mine,co_emission,2026-04,15.1,ppm,50,DGMS Limit
MINE-007,Singareni Opencast Mine,co_emission,2026-05,13.5,ppm,50,DGMS Limit
MINE-007,Singareni Opencast Mine,co_emission,2026-06,15.8,ppm,50,DGMS Limit
MINE-007,Singareni Opencast Mine,co_emission,2026-07,14.2,ppm,50,DGMS Limit
MINE-007,Singareni Opencast Mine,co_emission,2026-08,16.5,ppm,50,DGMS Limit
MINE-007,Singareni Opencast Mine,so2_level,2026-03,27.5,µg/m³,80,NAAQS Limit
MINE-007,Singareni Opencast Mine,so2_level,2026-04,31.8,µg/m³,80,NAAQS Limit
MINE-007,Singareni Opencast Mine,so2_level,2026-05,29.2,µg/m³,80,NAAQS Limit
MINE-007,Singareni Opencast Mine,so2_level,2026-06,33.1,µg/m³,80,NAAQS Limit
MINE-007,Singareni Opencast Mine,so2_level,2026-07,30.5,µg/m³,80,NAAQS Limit
MINE-007,Singareni Opencast Mine,so2_level,2026-08,34.2,µg/m³,80,NAAQS Limit
MINE-008,Kusmunda Super OC Mine,air_quality,2026-03,90.3,AQI,200,CPCB Limit
MINE-008,Kusmunda Super OC Mine,air_quality,2026-04,97.5,AQI,200,CPCB Limit
MINE-008,Kusmunda Super OC Mine,air_quality,2026-05,93.1,AQI,200,CPCB Limit
MINE-008,Kusmunda Super OC Mine,air_quality,2026-06,99.8,AQI,200,CPCB Limit
MINE-008,Kusmunda Super OC Mine,air_quality,2026-07,95.6,AQI,200,CPCB Limit
MINE-008,Kusmunda Super OC Mine,air_quality,2026-08,102.1,AQI,200,CPCB Limit
MINE-008,Kusmunda Super OC Mine,dust_level,2026-03,60.5,µg/m³,150,CPCB Limit
MINE-008,Kusmunda Super OC Mine,dust_level,2026-04,67.2,µg/m³,150,CPCB Limit
MINE-008,Kusmunda Super OC Mine,dust_level,2026-05,63.1,µg/m³,150,CPCB Limit
MINE-008,Kusmunda Super OC Mine,dust_level,2026-06,69.5,µg/m³,150,CPCB Limit
MINE-008,Kusmunda Super OC Mine,dust_level,2026-07,65.8,µg/m³,150,CPCB Limit
MINE-008,Kusmunda Super OC Mine,dust_level,2026-08,71.4,µg/m³,150,CPCB Limit
MINE-008,Kusmunda Super OC Mine,water_ph,2026-03,6.9,pH,8.5,Safe Range (6.5-8.5)
MINE-008,Kusmunda Super OC Mine,water_ph,2026-04,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-008,Kusmunda Super OC Mine,water_ph,2026-05,7.0,pH,8.5,Safe Range (6.5-8.5)
MINE-008,Kusmunda Super OC Mine,water_ph,2026-06,7.2,pH,8.5,Safe Range (6.5-8.5)
MINE-008,Kusmunda Super OC Mine,water_ph,2026-07,7.0,pH,8.5,Safe Range (6.5-8.5)
MINE-008,Kusmunda Super OC Mine,water_ph,2026-08,7.1,pH,8.5,Safe Range (6.5-8.5)
MINE-008,Kusmunda Super OC Mine,noise_level,2026-03,59.8,dB,85,OSHA Limit
MINE-008,Kusmunda Super OC Mine,noise_level,2026-04,63.5,dB,85,OSHA Limit
MINE-008,Kusmunda Super OC Mine,noise_level,2026-05,61.2,dB,85,OSHA Limit
MINE-008,Kusmunda Super OC Mine,noise_level,2026-06,64.8,dB,85,OSHA Limit
MINE-008,Kusmunda Super OC Mine,noise_level,2026-07,62.5,dB,85,OSHA Limit
MINE-008,Kusmunda Super OC Mine,noise_level,2026-08,65.6,dB,85,OSHA Limit
MINE-008,Kusmunda Super OC Mine,co_emission,2026-03,9.2,ppm,50,DGMS Limit
MINE-008,Kusmunda Super OC Mine,co_emission,2026-04,11.5,ppm,50,DGMS Limit
MINE-008,Kusmunda Super OC Mine,co_emission,2026-05,10.1,ppm,50,DGMS Limit
MINE-008,Kusmunda Super OC Mine,co_emission,2026-06,12.3,ppm,50,DGMS Limit
MINE-008,Kusmunda Super OC Mine,co_emission,2026-07,10.8,ppm,50,DGMS Limit
MINE-008,Kusmunda Super OC Mine,co_emission,2026-08,13.1,ppm,50,DGMS Limit
MINE-008,Kusmunda Super OC Mine,so2_level,2026-03,20.1,µg/m³,80,NAAQS Limit
